Model,MSE,MAE,R2
RandomForest,0.0016253012048192757,0.007831325301204818,0.9918864492753623
XGBoost,7.637897425638585e-09,7.812948024366051e-05,0.9999999403953552
Ridge,0.04287963100030965,0.16466261400678336,0.7859436391585991
